Designator,Mid X,Mid Y,Rotation,Layer
C1,114.173,-52.07,0.0,top
C2,114.173,-54.15,0.0,top
D1,109.855,-74.93,180.0,top
R1,106.045,-74.93,0.0,top
R2,114.935,-65.79775,270.0,top
R3,112.395,-65.79775,270.0,top
U1,107.315,-53.975,0.0,top
